IDCode,SiteCode,RefCode,BatGenus,BatSpecies,CurrentBatSpecies,TrophicGuild,PlantFamily,PlantGenus,PlantSpecies,CurrentPlantSpecies,LifeForm,SuccessionalStage,Interaction,Weight
BPI0001,BPA001,BPR001,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Moraceae,Brosimum,Brosimum lactescens,Brosimum lactescens,Tree,Late,Frugivory,NA
BPI0002,BPA001,BPR001,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Moraceae,Brosimum,Brosimum lactescens,Brosimum lactescens,Tree,Late,Frugivory,NA
BPI0003,BPA002,BPR002,Platyrrhinus,Platyrrhinus lineatus,Platyrrhinus lineatus,Frugivore,Icacinaceae,Emmotum,Emmotum nitens,Emmotum nitens,Tree,NA,Frugivory,NA
BPI0004,BPA003,BPR003,Artibeus,Artibeus fimbriatus,Artibeus fimbriatus,Frugivore,Piperaceae,Piper,Piper amalago,Piper amalago,Shrub,Early,Frugivory,1
BPI0005,BPA003,BPR003,Artibeus,Artibeus fimbriatus,Artibeus fimbriatus,Frugivore,Piperaceae,Piper,Piper crassinervium,Piper crassinervium,Shrub,Early,Frugivory,1
BPI0006,BPA003,BPR003,Artibeus,Artibeus fimbriatus,Artibeus fimbriatus,Frugivore,Unidentified,Unidentified,Unidentified sp.1,Unidentified sp.1,NA,NA,Frugivory,1
BPI0007,BPA003,BPR003,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia glaziovi,Cecropia glaziovii,Tree,Early,Frugivory,3
BPI0008,BPA003,BPR003,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia pachystachya,Cecropia pachystachya,Tree,Early,Frugivory,1
BPI0009,BPA003,BPR003,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Unidentified,Unidentified,Unidentified sp.3,Unidentified sp.3,NA,NA,Frugivory,1
BPI0010,BPA003,BPR003,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Unidentified,Unidentified,Unidentified sp.5,Unidentified sp.5,NA,NA,Frugivory,1
BPI0011,BPA003,BPR003,Artibeus,Artibeus obscurus,Artibeus obscurus,Frugivore,Urticaceae,Cecropia,Cecropia pachystachya,Cecropia pachystachya,Tree,Early,Frugivory,2
BPI0012,BPA003,BPR003,Artibeus,Artibeus obscurus,Artibeus obscurus,Frugivore,Piperaceae,Piper,Piper amalago,Piper amalago,Shrub,Early,Frugivory,1
BPI0013,BPA003,BPR003,Artibeus,Artibeus obscurus,Artibeus obscurus,Frugivore,Piperaceae,Piper,Piper crassinervium,Piper crassinervium,Shrub,Early,Frugivory,2
BPI0014,BPA003,BPR003,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,NA,Frugivory,2
