"Species","Category","Code"
"Artibeus planirostris","Least Concern","LC"
"Artibeus lituratus","Least Concern","LC"
"Platyrrhinus lineatus","Least Concern","LC"
"Artibeus fimbriatus","Least Concern","LC"
"Artibeus obscurus","Least Concern","LC"
"Carollia perspicillata","Least Concern","LC"
"Sturnira lilium","Least Concern","LC"
"Vampyressa pusilla","Data Deficient","DD"
"Sturnira giannae","Not Evaluated","NE"
"Leptonycteris nivalis","Endangered","EN"
"Choeronycteris mexicana","Near Threatened","NT"
"Leptonycteris yerbabuenae","Near Threatened","NT"
"Carollia brevicauda","Least Concern","LC"
"Carollia benkeithi","Least Concern","LC"
"Glossophaga soricina","Least Concern","LC"
"Phyllostomus hastatus","Least Concern","LC"
"Platyrrhinus sp.","Not Evaluated","NE"
"Uroderma bilobatum","Least Concern","LC"
"Uroderma magnirostrum","Least Concern","LC"
"Vampyressa thyone","Least Concern","LC"
"Rhinophylla pumilio","Least Concern","LC"
"Artibeus jamaicensis","Least Concern","LC"
"Artibeus watsoni","Not Evaluated","NE"
"Artibeus phaeotis","Not Evaluated","NE"
"Carollia castanea","Least Concern","LC"
"Centurio senex","Least Concern","LC"
"Chiroderma gorgasi","Not Evaluated","NE"
"Chiroderma villosum","Least Concern","LC"
"Lampronycteris brachyotis","Least Concern","LC"
"Phylloderma stenops","Least Concern","LC"
"Phyllostomus discolor","Least Concern","LC"
"Vampyrodes major","Least Concern","LC"
"Platyrrhinus helleri","Least Concern","LC"
"Artibeus toltecus","Not Evaluated","NE"
"Carollia subrufa","Least Concern","LC"
"Sturnira parvidens","Least Concern","LC"
"Anoura caudifer","Least Concern","LC"
"Pygoderma bilabiatum","Least Concern","LC"
"Artibeus cinereus","Not Evaluated","NE"
"Artibeus concolor","Least Concern","LC"
"Sturnira tildae","Least Concern","LC"
"Lonchophylla dekeyseri","Endangered","EN"
"Artibeus phaeotis or watsoni","Not Evaluated","NE"
"Glossophaga commissarisi","Least Concern","LC"
"Vampyriscus nymphaea","Least Concern","LC"
"Ametrida centurio","Least Concern","LC"
"Anoura geoffroyi","Least Concern","LC"
"Artibeus gnomus","Not Evaluated","NE"
"Chiroderma trinitatum","Least Concern","LC"
"Choeroniscus minor","Least Concern","LC"
"Mesophylla macconnelli","Least Concern","LC"
"Glyphonycteris sylvestris","Least Concern","LC"
"Lionycteris spurrelli","Least Concern","LC"
"Hsunycteris thomasi","Not Evaluated","NE"
"Phyllostomus elongatus","Least Concern","LC"
"Phyllostomus latifolius","Least Concern","LC"
"Trinycteris nicefori","Least Concern","LC"
"Sturnira ludovici","Least Concern","LC"
"Glossophaga leachii","Least Concern","LC"
"Sturnira aratathomasi","Least Concern","LC"
"carollia subrufa","Least Concern","LC"
"Platyrrhinus recifinus","Least Concern","LC"
"Sturnira erythromos","Least Concern","LC"
"Micronycteris hirsuta","Least Concern","LC"
"Tonatia bakeri","Not Evaluated","NE"
"Lophostoma silvicola","Not Evaluated","NE"
"Uroderma convexum","Not Evaluated","NE"
"Lonchophylla concava","Least Concern","LC"
"Sturnira mordax","Least Concern","LC"
"Platyrrhinus vittatus","Least Concern","LC"
"Monophyllus redmani","Least Concern","LC"
"Platyrrhinus brachycephalus","Least Concern","LC"
"Artibeus spp.","Not Evaluated","NE"
"Carollia sowelli","Least Concern","LC"
"Hylonycteris underwoodi","Least Concern","LC"
"Brachyphylla nana","Least Concern","LC"
"Phyllops falcatus","Least Concern","LC"
"Erophylla sezekorni","Least Concern","LC"
"Phyllonycteris poeyi","Least Concern","LC"
"Leptonycteris curasoae","Vulnerable","VU"
"Artibeus sp.","Not Evaluated","NE"
"Anoura fistulata","Data Deficient","DD"
"Glossophaga longirostris","Least Concern","LC"
"Brachyphylla cavernarum","Least Concern","LC"
"Chiroderma doriae","Least Concern","LC"
"Musonycteris harrisoni","Vulnerable","VU"
"Micronycteris megalotis","Least Concern","LC"
"Platalina genovensium","Near Threatened","NT"
"Lonchophylla bokermanni","Endangered","EN"
"Lichonycteris obscura","Least Concern","LC"
"Lonchophylla robusta","Least Concern","LC"
"Choeroniscus godmani","Least Concern","LC"
"Lonchophylla inexpectata","Not Evaluated","NE"
