"Species","Category","Code"
"Brosimum lactescens","Least Concern","LC"
"Emmotum nitens","Least Concern","LC"
"Piper amalago","Least Concern","LC"
"Piper crassinervium","Least Concern","LC"
"Cecropia glaziovii","Not evaluated","NE"
"Cecropia pachystachya","Not evaluated","NE"
"Vismia sp.","Not evaluated","NE"
"Ficus sp.","Not evaluated","NE"
"Piper aduncum","Least Concern","LC"
"Piper sp.","Not evaluated","NE"
"Cecropia hololeuca","Least Concern","LC"
"Ficus eximia","Least Concern","LC"
"Cecropia sp.","Not evaluated","NE"
"Solanum wrightii","Least Concern","LC"
"Agave schottii","Least Concern","LC"
"Carnegiea gigantea","Least Concern","LC"
"Stenocereus stellatus","Least Concern","LC"
"Agave macroacantha","Endangered","EN"
"Piper peltatum","Not evaluated","NE"
"Anthurium sp.","Not evaluated","NE"
"Cecropia distachya","Not evaluated","NE"
"Cecropia ficifolia","Least Concern","LC"
"Cecropia membranacea","Least Concern","LC"
"Solanum lanceolatum","Least Concern","LC"
"Clusia flavida","Least Concern","LC"
"Vismia macrophylla","Least Concern","LC"
"Ficus trigonata","Lower Risk/least concern","LR/lc"
"Ficus insipida","Least Concern","LC"
"Piper arboreum","Not evaluated","NE"
"Spondias sp.","Not evaluated","NE"
"Quararibea asterolepis","Least Concern","LC"
"Dipteryx oleifera","Not evaluated","NE"
"Spondias radlkoferi","Not evaluated","NE"
"Cecropia insignis","Least Concern","LC"
"Aechmea tillandsioides","Not evaluated","NE"
"Vismia sp. 1","Not evaluated","NE"
"Carludovica palmata","Least Concern","LC"
"Brosimum alicastrum","Not evaluated","NE"
"Piper aequale","Least Concern","LC"
"Piper carrilloanum","Least Concern","LC"
"Piper cordulatum","Lower Risk/near threatened","LR/nt"
"Piper marginatum","Not evaluated","NE"
"Piper reticulatum","Least Concern","LC"
"Piper sp.1","Not evaluated","NE"
"Markea panamensis","Not evaluated","NE"
"Solanum hayesii","Least Concern","LC"
"Piper sp.2","Not evaluated","NE"
"Piper sp.4","Not evaluated","NE"
"Piper sp.6","Not evaluated","NE"
"Anacardium excelsum","Not evaluated","NE"
"Senna undulata","Least Concern","LC"
"Vismia sp.1","Not evaluated","NE"
"Piper sp.3","Not evaluated","NE"
"Piper sp.5","Not evaluated","NE"
"Vismia sp.2","Not evaluated","NE"
"Ficus popenoei","Least Concern","LC"
"Ochroma pyramidale","Least Concern","LC"
"Pseudobombax septenatum","Not evaluated","NE"
"Ficus yoponensis","Least Concern","LC"
"Ficus crassinervia","Least Concern","LC"
"Ficus crocata","Least Concern","LC"
"Muntingia calabura","Not evaluated","NE"
"Piper pseudofuligineum","Least Concern","LC"
"Vismia baccifera","Least Concern","LC"
"Cecropia peltata","Least Concern","LC"
"Tetrastylis ovalis","Not evaluated","NE"
"Bakeridesia rufinervis","Not evaluated","NE"
"Abutilon regnellii","Not evaluated","NE"
"Solanum granuloso-leprosum","Least Concern","LC"
"Manilkara zapota","Not evaluated","NE"
"Cecropia palmata","Not evaluated","NE"
"Ficus maxima","Least Concern","LC"
"Ficus microcarpa","Least Concern","LC"
"Syzygium jambos","Least Concern","LC"
"Oenocarpus distichus","Not evaluated","NE"
"Socratea exorrhiza","Not evaluated","NE"
"Psidium guajava","Least Concern","LC"
"Alexa grandiflora","Not evaluated","NE"
"Crescentia amazonica","Not evaluated","NE"
"Crescentia cujete","Least Concern","LC"
"Crateva tapia","Not evaluated","NE"
"Elizabetha paraensis","Not evaluated","NE"
"Hymenaea courbaril","Least Concern","LC"
"Parkia gigantocarpa","Not evaluated","NE"
"Parkia pendula","Least Concern","LC"
"Cecropia obtusa","Not evaluated","NE"
"Solanum sp.","Not evaluated","NE"
"Rollinia exsucca ","Not evaluated","NE"
"Protium araguense","Not evaluated","NE"
"Vismia guianensis","Not evaluated","NE"
"Vismia latifolia","Not evaluated","NE"
"Vismia sessilifolia","Not evaluated","NE"
"Piper hostmannianum","Not evaluated","NE"
"Solanum asperum","Not evaluated","NE"
"Solanum rugosum","Not evaluated","NE"
"Solanum subinerme","Least Concern","LC"
"Eperua falcata","Least Concern","LC"
"Evodianthus funifer","Not evaluated","NE"
"Asplundia sp.","Not evaluated","NE"
"Philodendron sp.","Not evaluated","NE"
"Schlegelia paraensis","Not evaluated","NE"
"Thoracocarpus bissectus","Not evaluated","NE"
"Ficus cotinifolia","Least Concern","LC"
"Pseudobombax sp.","Not evaluated","NE"
"Luehea sp.","Not evaluated","NE"
"Bauhinia sp.","Not evaluated","NE"
"Lafoensia sp.","Not evaluated","NE"
"Ruellia sp.","Not evaluated","NE"
"Inga sp.1","Not evaluated","NE"
"Inga sp.2","Not evaluated","NE"
"Calyptrogyne ghiesbreghtiana","Not evaluated","NE"
"Solanum leucocarpon","Least Concern","LC"
"Drymonia rubra","Not evaluated","NE"
"Schultesianthus venosus","Not evaluated","NE"
"Burmeistera cyclostigmata","Not evaluated","NE"
"Piper bisasperatum","Least Concern","LC"
"Piper dotanum","Not evaluated","NE"
"Piper epigynium","Least Concern","LC"
"Piper lanceifolium","Not evaluated","NE"
"Solanum argenteum","Least Concern","LC"
"Solanum nudum","Least Concern","LC"
"Solanum umbellatum","Not evaluated","NE"
"Cecropia obtusifolia","Lower Risk/least concern","LR/lc"
"Conostegia icosandra","Not evaluated","NE"
"Eugenia acapulcensis","Least Concern","LC"
"Ficus aurea","Not evaluated","NE"
"Saurauia montana","Not evaluated","NE"
"Asplundia vagans","Not evaluated","NE"
"Xanthosoma sp.","Not evaluated","NE"
"Piper auritum","Least Concern","LC"
"Piper gibbosum","Least Concern","LC"
"Piper glabrescens","Not evaluated","NE"
"Piper obliquum","Not evaluated","NE"
"Piper phytolaccifolium","Least Concern","LC"
"Piper umbellatum","Not evaluated","NE"
"Solanum rovirosanum","Least Concern","LC"
"Solanum asperolanatum","Not evaluated","NE"
"Cecropia angustifolia","Not evaluated","NE"
"Manfreda scabra","Not evaluated","NE"
"Pseudobombax ellipticum","Least Concern","LC"
"Acnistus arborescens","Not evaluated","NE"
"Ficus hartwegii","Least Concern","LC"
"Ficus obtusifolia","Least Concern","LC"
"Ficus sp.1","Not evaluated","NE"
"Ficus sp.2","Not evaluated","NE"
"Poulsenia armata","Least Concern","LC"
"Pseudolmedia glabrata","Least Concern","LC"
"Nectandra ambigens","Not evaluated","NE"
"Pouteria campechiana","Least Concern","LC"
"Pouteria reticulata ","Not evaluated","NE"
"Sideroxylon capiri","Not evaluated","NE"
"Spondias mombin","Least Concern","LC"
"Cynometra retusa","Least Concern","LC"
"Trema micrantha","Not evaluated","NE"
"Licania sp.","Not evaluated","NE"
"Calophyllum brasiliense","Least Concern","LC"
"Quararibea funebris","Not evaluated","NE"
"Diospyros nigra","Least Concern","LC"
"Turpinia occidentalis","Least Concern","LC"
"Solanum sp.1","Not evaluated","NE"
"Solanum sp.2","Not evaluated","NE"
"Solanum sp.3","Not evaluated","NE"
"Piper hispidum","Least Concern","LC"
"Piper lapathifolium","Not evaluated","NE"
"Piper sanctum","Least Concern","LC"
"Solanum sycophanta","Least Concern","LC"
"Ficus luschnathiana","Least Concern","LC"
"Ficus enormis","Least Concern","LC"
"Bauhinia ungulata","Least Concern","LC"
"Piper jacquemontianum","Not evaluated","NE"
"Piper tuberculatum ","Not evaluated","NE"
"Acacia collinsii","Not evaluated","NE"
"Karwinskia calderonii","Not evaluated","NE"
"Clidemia octona","Not evaluated","NE"
