"Species","Category","Code"
"Brosimum lactescens","Least Concern","LC"
"Emmotum nitens","Least Concern","LC"
"Piper amalago","Least Concern","LC"
"Piper crassinervium","Least Concern","LC"
"Cecropia glaziovii","Not Evaluated","NE"
"Cecropia pachystachya","Not Evaluated","NE"
"Vismia sp.","Not Evaluated","NE"
"Ficus sp.","Not Evaluated","NE"
"Piper aduncum","Least Concern","LC"
"Piper sp.","Not Evaluated","NE"
"Cecropia hololeuca","Least Concern","LC"
"Ficus eximia","Least Concern","LC"
"Cecropia sp.","Not Evaluated","NE"
"Solanum wrightii","Least Concern","LC"
"Agave schottii","Least Concern","LC"
"Carnegiea gigantea","Least Concern","LC"
"Stenocereus stellatus","Least Concern","LC"
"Agave macroacantha","Endangered","EN"
"Piper peltatum","Not Evaluated","NE"
"Anthurium sp.","Not Evaluated","NE"
"Cecropia distachya","Not Evaluated","NE"
"Cecropia ficifolia","Least Concern","LC"
"Cecropia membranacea","Least Concern","LC"
"Solanum lanceolatum","Least Concern","LC"
"Clusia flavida","Least Concern","LC"
"Vismia macrophylla","Least Concern","LC"
"Ficus trigonata","Least Concern","LC"
"Ficus insipida","Least Concern","LC"
"Piper arboreum","Not Evaluated","NE"
"Spondias sp.","Not Evaluated","NE"
"Quararibea asterolepis","Least Concern","LC"
"Dipteryx oleifera","Not Evaluated","NE"
"Spondias radlkoferi","Not Evaluated","NE"
"Cecropia insignis","Least Concern","LC"
"Aechmea tillandsioides","Not Evaluated","NE"
"Vismia sp. 1","Not Evaluated","NE"
"Carludovica palmata","Least Concern","LC"
"Brosimum alicastrum","Not Evaluated","NE"
"Piper aequale","Least Concern","LC"
"Piper carrilloanum","Least Concern","LC"
"Piper cordulatum","Near Threatened","NT"
"Piper marginatum","Not Evaluated","NE"
"Piper reticulatum","Least Concern","LC"
"Piper sp.1","Not Evaluated","NE"
"Markea panamensis","Not Evaluated","NE"
"Solanum hayesii","Least Concern","LC"
"Piper sp.2","Not Evaluated","NE"
"Piper sp.4","Not Evaluated","NE"
"Piper sp.6","Not Evaluated","NE"
"Anacardium excelsum","Not Evaluated","NE"
"Senna undulata","Least Concern","LC"
"Vismia sp.1","Not Evaluated","NE"
"Piper sp.3","Not Evaluated","NE"
"Piper sp.5","Not Evaluated","NE"
"Vismia sp.2","Not Evaluated","NE"
"Ficus popenoei","Least Concern","LC"
"Ochroma pyramidale","Least Concern","LC"
"Pseudobombax septenatum","Not Evaluated","NE"
"Ficus yoponensis","Least Concern","LC"
"Ficus crassinervia","Least Concern","LC"
"Ficus crocata","Least Concern","LC"
"Muntingia calabura","Not Evaluated","NE"
"Piper pseudofuligineum","Least Concern","LC"
"Vismia baccifera","Least Concern","LC"
"Cecropia peltata","Least Concern","LC"
"Tetrastylis ovalis","Not Evaluated","NE"
"Bakeridesia rufinervis","Not Evaluated","NE"
"Abutilon regnellii","Not Evaluated","NE"
"Solanum granuloso-leprosum","Least Concern","LC"
"Manilkara zapota","Not Evaluated","NE"
"Cecropia palmata","Not Evaluated","NE"
"Ficus maxima","Least Concern","LC"
"Ficus microcarpa","Least Concern","LC"
"Syzygium jambos","Least Concern","LC"
"Oenocarpus distichus","Not Evaluated","NE"
"Socratea exorrhiza","Not Evaluated","NE"
"Psidium guajava","Least Concern","LC"
"Alexa grandiflora","Not Evaluated","NE"
"Crescentia amazonica","Not Evaluated","NE"
"Crescentia cujete","Least Concern","LC"
"Crateva tapia","Not Evaluated","NE"
"Elizabetha paraensis","Not Evaluated","NE"
"Hymenaea courbaril","Least Concern","LC"
"Parkia gigantocarpa","Not Evaluated","NE"
"Parkia pendula","Least Concern","LC"
"Cecropia obtusa","Not Evaluated","NE"
"Solanum sp.","Not Evaluated","NE"
"Rollinia exsucca ","Not Evaluated","NE"
"Protium araguense","Not Evaluated","NE"
"Vismia guianensis","Not Evaluated","NE"
"Vismia latifolia","Not Evaluated","NE"
"Vismia sessilifolia","Not Evaluated","NE"
"Piper hostmannianum","Not Evaluated","NE"
"Solanum asperum","Not Evaluated","NE"
"Solanum rugosum","Not Evaluated","NE"
"Solanum subinerme","Least Concern","LC"
"Eperua falcata","Least Concern","LC"
"Evodianthus funifer","Not Evaluated","NE"
"Asplundia sp.","Not Evaluated","NE"
"Philodendron sp.","Not Evaluated","NE"
"Schlegelia paraensis","Not Evaluated","NE"
"Thoracocarpus bissectus","Not Evaluated","NE"
"Ficus cotinifolia","Least Concern","LC"
"Pseudobombax sp.","Not Evaluated","NE"
"Luehea sp.","Not Evaluated","NE"
"Bauhinia sp.","Not Evaluated","NE"
"Lafoensia sp.","Not Evaluated","NE"
"Ruellia sp.","Not Evaluated","NE"
"Inga sp.1","Not Evaluated","NE"
"Inga sp.2","Not Evaluated","NE"
"Calyptrogyne ghiesbreghtiana","Not Evaluated","NE"
"Solanum leucocarpon","Least Concern","LC"
"Drymonia rubra","Not Evaluated","NE"
"Schultesianthus venosus","Not Evaluated","NE"
"Burmeistera cyclostigmata","Not Evaluated","NE"
"Piper bisasperatum","Least Concern","LC"
"Piper dotanum","Not Evaluated","NE"
"Piper epigynium","Least Concern","LC"
"Piper lanceifolium","Not Evaluated","NE"
"Solanum argenteum","Least Concern","LC"
"Solanum nudum","Least Concern","LC"
"Solanum umbellatum","Not Evaluated","NE"
"Cecropia obtusifolia","Least Concern","LC"
"Conostegia icosandra","Not Evaluated","NE"
"Eugenia acapulcensis","Least Concern","LC"
"Ficus aurea","Not Evaluated","NE"
"Saurauia montana","Not Evaluated","NE"
"Asplundia vagans","Not Evaluated","NE"
"Xanthosoma sp.","Not Evaluated","NE"
"Piper auritum","Least Concern","LC"
"Piper gibbosum","Least Concern","LC"
"Piper glabrescens","Not Evaluated","NE"
"Piper obliquum","Not Evaluated","NE"
"Piper phytolaccifolium","Least Concern","LC"
"Piper umbellatum","Not Evaluated","NE"
"Solanum rovirosanum","Least Concern","LC"
"Solanum asperolanatum","Not Evaluated","NE"
"Cecropia angustifolia","Not Evaluated","NE"
"Manfreda scabra","Not Evaluated","NE"
"Pseudobombax ellipticum","Least Concern","LC"
"Acnistus arborescens","Not Evaluated","NE"
"Ficus hartwegii","Least Concern","LC"
"Ficus obtusifolia","Least Concern","LC"
"Ficus sp.1","Not Evaluated","NE"
"Ficus sp.2","Not Evaluated","NE"
"Poulsenia armata","Least Concern","LC"
"Pseudolmedia glabrata","Least Concern","LC"
"Nectandra ambigens","Not Evaluated","NE"
"Pouteria campechiana","Least Concern","LC"
"Pouteria reticulata ","Not Evaluated","NE"
"Sideroxylon capiri","Not Evaluated","NE"
"Spondias mombin","Least Concern","LC"
"Cynometra retusa","Least Concern","LC"
"Trema micrantha","Not Evaluated","NE"
"Licania sp.","Not Evaluated","NE"
"Calophyllum brasiliense","Least Concern","LC"
"Quararibea funebris","Not Evaluated","NE"
"Diospyros nigra","Least Concern","LC"
"Turpinia occidentalis","Least Concern","LC"
"Solanum sp.1","Not Evaluated","NE"
"Solanum sp.2","Not Evaluated","NE"
"Solanum sp.3","Not Evaluated","NE"
"Piper hispidum","Least Concern","LC"
"Piper lapathifolium","Not Evaluated","NE"
"Piper sanctum","Least Concern","LC"
"Solanum sycophanta","Least Concern","LC"
"Ficus luschnathiana","Least Concern","LC"
"Ficus enormis","Least Concern","LC"
"Bauhinia ungulata","Least Concern","LC"
"Piper jacquemontianum","Not Evaluated","NE"
